GRUMA CORP,GPAGF,,,,
GULFPORT ENERGY OPERATING CORP,GPOR,,,,
HALLADOR ENERGY CO,HNRG,,,,
HALLIBURTON CO,HAL,,,,
HAWAIIAN ELECTRIC INDUSTRIES INC,HE,,,,
HAYNES INTERNATIONAL INC,HAYN,,,,
HESS CORP,HES,,,,
HEXCEL CORP,HXL,,,,
HF SINCLAIR CORP,DINO,,,,
HIG Capital,HIG,,,,
HOLLYFRONTIER CORP,HFC,,,,
HONEYWELL INTERNATIONAL INC,HON,,,,
HORMEL FOODS CORP,HRL,,,,
HOWMET AEROSPACE INC,HWM,,,,
HUDSON TECHNOLOGIES INC,HDSN,,,,
HUNTINGTON INGALLS INDUSTRIES INC,HII,,,,
HUNTSMAN CORP,HUN,,,,
HYUNDAI MOTOR AMERICA,HYMTF,,,,
ICL Industrial Products,ICL,,,,
ICL SPECIALTY PRODUCTS NORTH AMERICA INC,ICL,,,,
IDACORP INC,IDA,,,,
ILLINOIS TOOL WORKS INC,ITW,,,,
IMERYS USA INC,IMYSF,,,,
INFINEON TECHNOLOGIES AMERICAS CORP,IFNNY,,,,
INGERSOLL-RAND CO,IR,,,,
INGEVITY CORP,NGVT,,,,
INGREDION INC,INGR,,,,
INPEX AMERICAS INC,IPXHY,,,,
INTEL CORP,INTC,,,,
INTERNATIONAL FLAVORS & FRAGRANCES INC,IFF,,,,
INTERNATIONAL PAPER CO,IP,,,,
ITC INVESTMENT HOLDINGS INC,ITC,,,,
IWATANI CORP AMERICA,IWTNF,,,,
JELD-WEN HOLDING INC,JELD,,,,
JM SMUCKER CO,SJM,,,,
JOHNSON CONTROLS INC,JCI,,,,
KAISER ALUMINUM CORP,KALU,,,,
KELLOGG CO,KLG,,,,
KEYERA ENERGY INC,KEYUF,,,,
KIMBERLY-CLARK CORP,KMB,,,,
KINDER MORGAN INC,KMI,,,,
KKR & CO INC,KKR,,,,
KOPPERS INC,KOP,,,,
KURARAY HOLDINGS USA INC,KURRY,,,,
LAMB WESTON HOLDINGS INC,LW,,,,
LANXESS CORP,LNXSF,,,,
LEGGETT & PLATT INC,LEG,,,,
LENNOX INTERNATIONAL INC,LII,,,,
LIBERTY UTILITIES CO,LBRT,,,,
LINCOLN ELECTRIC HOLDINGS INC,LECO,,,,
LINDE INC,LIN,,,,
LOCKHEED MARTIN CORP,LMT,,,,
LOEWS CORP,L,,,,
LOUISIANA-PACIFIC CORP,LPX,,,,
LSB INDUSTRIES INC,LXU,,,,
LYONDELLBASELL INDUSTRIES INC,LYB,,,,
MAGNOLIA OIL & GAS CORP,MGY,,,,
MARATHON OIL CORP,MRO,,,,
MARATHON PETROLEUM CORP,MPC,,,,
MARTIN MARIETTA MATERIALS INC,MLM,,,,
MARUBENI AMERICA CORP,MARUY,,,,
MASONITE INTERNATIONAL CORP,DOOR,,,,
MATADOR RESOURCES CO,MTDR,,,,
MATERION CORP,MTRN,,,,
MAZDA MOTOR OF AMERICA INC,MZDAF,,,,
MDU RESOURCES GROUP INC,MDU,,,,
MELROSE INDUSTRIES PLC,MLSPF,,,,
MERCK & CO INC,MRK,,,,
METRO,MTRAF,,,,
MGE ENERGY INC,MGEE,,,,
MGM RESORTS INTERNATIONAL,MGM,,,,
MGP INGREDIENTS INC,MGPI,,,,
MICROCHIP TECHNOLOGY INC,MCHP,,,,
MICRON TECHNOLOGY INC,MU,,,,
MINERALS TECHNOLOGIES INC,MTX,,,,
MITSUBISHI CHEMICAL AMERICA INC,MTLHY,,,,
MITSUBISHI CORP (AMERICAS),MSBHF,,,,
MITSUBISHI ELECTRIC CORP,MIELY,,,,
MITSUBISHI MOTORS CORP,MMTOF,,,,
MOHAWK INDUSTRIES INC,MHK,,,,
MOLSON COORS BEVERAGE CO,TAP,,,,
MONARCH CEMENT CO,MCEM,,,,
MURPHY OIL CORP,MUR,,,,
NATIONAL FUEL GAS CO,NFG,,,,
NATIONAL GRID USA,NGG,,,,
NEENAH INC,NP,,,,
NESTLE HOLDINGS INC,NSRGY,,,,
NEWMONT CORP,NEM,,,,
NEWTON HOME OIL CO INC,NWTNY,,,,
NEXTERA ENERGY INC,NEE,,,,
NISOURCE INC,NI,,,,
NORTHROP GRUMMAN CORP,NOC,,,,
NORTHWEST NATURAL HOLDING CO,NWN,,,,
NORTHWESTERN CORP,NWE,,,,
NRG ENERGY INC,NRG,,,,
NUCOR CORP,NUE,,,,
NUTRIEN US CORP A INC,NTR,,,,
OASIS PETROLEUM INC,CHRD,,,,
OCCIDENTAL PETROLEUM CORP,OXY,,,,
OGE ENERGY CORP,OGE,,,,
O-I GLASS INC,OI,,,,
OLIN CORP,OLN,,,,
ONE GAS INC,OGS,,,,
ONEOK INC,OKE,,,,
OTTER TAIL CORP,OTTR,,,,
OVINTIV INC,OVV,,,,
OWENS CORNING,OC,,,,
OWENS-ILLINOIS INC,OI,,,,
PACIFIC GAS & ELECTRIC CO,PCG,,,,
PACIFICORP,PPWLM,,,,
PACKAGING CORP OF AMERICA,PKG,,,,
PAR PACIFIC HOLDINGS INC,PARR,,,,
PBF ENERGY INC,PBF,,,,
PDC ENERGY INC,PDCE,,,,
PEABODY ENERGY CORP,BTU,,,,
PEPSICO INC,PEP,,,,
PFIZER INC,PFE,,,,
PG&E CORP,PCG,,,,
PHILLIPS 66,PSX,,,,
PHOENIX GLOBAL HOLDINGS,PNXGF,,,,
PINNACLE WEST CAPITAL CORP,PNW,,,,
PIONEER NATURAL RESOURCES CO,PXD,,,,
PNM RESOURCES INC,PNW,,,,
PORTLAND GENERAL ELECTRIC CO,POR,,,,
POST HOLDINGS INC,POST,,,,
PPL CORP,PPL,,,,
PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,,,,
PUGET SOUND ENERGY INC,PSD,,,,
QORVO INC,GRVO,,,,
QUAD/GRAPHICS INC,QUAD,,,,
QUALCOMM INC,QCOM,,,,
RANGE RESOURCES CORP,RRC,,,,
RAYONIER ADVANCED MATERIALS INC,RYAM,,,,
RAYTHEON TECHNOLOGIES CORP,RTX,,,,
REC SILICON INC,RNWEY,,,,
REPUBLIC SERVICES INC,RSG,,,,
REX AMERICAN RESOURCES,REX,,,,
REX AMERICAN RESOURCES CORP,REX,,,,
REYNOLDS AMERICAN INC,RAI,,,,
REYNOLDS CONSUMER PRODUCTS INC,REYN,,,,
RGC RESOURCES INC,RGCO,,,,
RING ENERGY INC,REI,,,,
RIO TINTO AMERICA INC,RIO,,,,
SAINT-GOBAIN CORP,CODYY,,,,
SAMSUNG ELECTRONICS AMERICA INC,SSNLF,,,,
SANDRIDGE ENERGY INC,SD,,,,
SANOFI PASTEUR INC,SNY,,,,
SAPPI NORTH AMERICA INC,SPPJY,,,,
SCHNITZER STEEL INDUSTRIES INC,RDUS,,,,
SEABOARD CORP,SEB,,,,
SEMPRA ENERGY,SRE,,,,
SEMPRA ENERGY ,SRE,,,,
SEMPRA ENERGY INC,SRE,,,,
SENSIENT TECHNOLOGIES CORP,SXT,,,,
SHELL PETROLEUM INC,SHEL,,,,
shell usa,SHEL,,,,
SIEMENS INDUSTRY INC,SIEGY,,,,
SIEMENS USA HOLDINGS INC,SIEGY,,,,
SILVERBOW RESOURCES INC,SBOW,,,,
SKYWORKS SOLUTIONS INC,SWKS,,,,
SM ENERGY CO,SM,,,,
SMITHFIELD FOODS INC,SFD,,,,
SONOCO PRODUCTS CO,SON,,,,
SOUTHWEST GAS HOLDINGS INC,SWX,,,,
SOUTHWESTERN ENERGY CO INC,SWN,,,,
SPIRE INC,SR,,,,
SPIRIT AEROSYSTEMS HOLDINGS INC,SPR,,,,
STEEL DYNAMICS INC,STLD,,,,
STEPAN CO,SCL,,,,
STRONGHOLD DIGITIAL MINING,SDIG,,,,
SUMMIT MATERIALS INC,SUM,,,,
SUNCOKE ENERGY INC,SXC,,,,
SUNCOR ENERGY (USA) INC,SU,,,,
SYMRISE INC,SYIEY,,,,
SYNGENTA CORP,SYT,,,,
TALEN ENERGY CORP,TLNE,,,,
TALOS ENERGY INC,TALO,,,,
TARGA RESOURCES,TRGP,,,,
TARGA RESOURCES CORP,TRGP,,,,
TARGET CORP,TGT,,,,
TESLA INC,TSLA,,,,
TEXTRON INC,TXT,,,,
THE AES CORP,AES,,,,
THE ANDERSONS INC,ANDE,,,,
THE BOEING CO,BA,,,,
THE CHEMOURS CO,CC,,,,
THE GOODYEAR TIRE & RUBBER CO,GT,,,,
THE MOSAIC CO,MOS,,,,
THE PROCTER & GAMBLE CO,PG,,,,
THE SOUTHERN CO,SO,,,,
THE WALT DISNEY CO,DIS,,,,
THE WILLIAMS COS INC,WMB,,,,
THERMO FISHER SCIENTIFIC INC,TMO,,,,
TIMKENSTEEL CORP,MTUS,,,,
TITAN INTERNATIONAL INC,TWI,,,,
TORAY INDUSTRIES AMERICA INC,TRYIY,,,,
TOYOTA MOTOR NORTH AMERICA INC,TM,,,,
TRANE TECHNOLOGIES CORP,TT,,,,
TRANSALTA USA INC,TAC,,,,
TRECORA RESOURCES,TREC,,,,
TREDEGAR CORP,TG,,,,
TRINSEO PLC,TSE,,,,
TRONOX INC,TROX,,,,
TYSON FOODS INC,TSN,,,,
UGI CORP,UGI,,,,
UNIT CORP,UNTC,,,,
UNIVERSAL STAINLESS & ALLOY PRODUCTS INC,USAP,,,,
UNS ENERGY CORP,UNS,,,,
US LIME & MINERALS INC,USLM,,,,
US SILICA HOLDINGS INC,SLCA,,,,
US STEEL CORP,X,,,,
USG CORP,USG,,,,
VALERO ENERGY CORP,VLO,,,,
VERTEX ENERGY,VTNR,,,,
VIATRIS INC,VTRS,,,,
Vistra Corp,VST,,,,
VOLKSWAGEN GROUP OF AMERICA INC,VWAGY,,,,
W&T OFFSHORE INC,WTI,,,,
WARRIOR MET COAL INC,HCC,,,,
WASTE CONNECTIONS INC,WCN,,,,
WASTE CONNECTIONS US INC,WCN,,,,
WASTE MANAGEMENT INC,WM,,,,
WEC Energy Group Inc,WEC,,,,
WELLS FARGO & CO,WFC,,,,
WEST FRASER INC,WFG,,,,
WESTLAKE CHEMICAL CORP,WLK,,,,
WESTLAKE CORP,WLK,,,,
WESTROCK CO,WRK,,,,
WEYERHAEUSER CO,WY,,,,
WILLIAMS COS INC (THE),WMB,,,,
WORTHINGTON INDUSTRIES INC,WOR,,,,
XCEL ENERGY INC,WEL,,,,
XEROX CORP,XRX,,,,
